Unnamed: 0,City,Country,Population (2024),Population (2023),Growth Rate,slug
779,Dazhou,China,767532,748257,0.0258,dazhou
780,Suining Sichuan,China,765887,750097,0.0211,suining-sichuan
781,Mangalore,India,763312,749073,0.019,mangalore
782,Jiamusi,China,761903,749763,0.0162,jiamusi
783,Al Hudaydah,Yemen,759157,734699,0.0333,al-hudaydah
784,Seattle,United States,757992,753624,0.0058,seattle
785,Sargodha,Pakistan,757915,741818,0.0217,sargodha
786,Nay Pyi Taw,Myanmar,757823,722836,0.0484,nay-pyi-taw
787,Tamale,Ghana,757506,729768,0.038,tamale
788,Sao Jose Dos Campos,Brazil,757137,749188,0.0106,sao-jose-dos-campos
789,Bacoor,Philippines,757035,739682,0.0235,bacoor
790,Dongtai,China,756344,738200,0.0246,dongtai
791,Zhangjiagang,China,755752,733810,0.0299,zhangjiagang
792,Nanded Waghala,India,755577,738552,0.0231,nanded-waghala
793,Xianyang Shaanxi,China,754446,743491,0.0147,xianyang-shaanxi
794,Amara,Iraq,753708,729276,0.0335,amara
795,Zarqa,Jordan,753392,748428,0.0066,zarqa
796,Bhavnagar,India,751493,737128,0.0195,bhavnagar
797,Sheffield,United Kingdom,751303,745876,0.0073,sheffield
798,Huambo,Angola,751297,727641,0.0325,huambo
799,Ribeirao Preto,Brazil,750174,742115,0.0109,ribeirao-preto
800,Panzhihua,China,750036,738495,0.0156,panzhihua
