code,nom,typeLiaison,zone,arrondissement,departement,region,type,rangChefLieu,siren,codesPostaux,population,longitude,latitude,slug,anciensCodes,chefLieu,commune
06032,Cap-d'Ail,0.0,metro,062,06,93,commune-actuelle,0.0,210600326.0,['06320'],4491.0,7.401403235527747,43.72536449214312,cap-d-ail,,,
06033,Carros,0.0,metro,061,06,93,commune-actuelle,0.0,210600334.0,['06510'],13729.0,7.18430257229083,43.784788047849005,carros,,,
06034,Castagniers,0.0,metro,062,06,93,commune-actuelle,0.0,210600342.0,['06670'],1674.0,7.227893702655997,43.792570503677524,castagniers,,,
06035,Castellar,0.0,metro,062,06,93,commune-actuelle,0.0,210600359.0,['06500'],1042.0,7.498991307307393,43.821785030888776,castellar,,,
06036,Castillon,0.0,metro,062,06,93,commune-actuelle,0.0,210600367.0,['06500'],422.0,7.465249602023367,43.83616199698326,castillon,,,
06037,Caussols,0.0,metro,061,06,93,commune-actuelle,0.0,210600375.0,['06460'],322.0,6.903300652878411,43.737319517773166,caussols,,,
06038,Châteauneuf-Grasse,0.0,metro,061,06,93,commune-actuelle,0.0,210600383.0,['06740'],3765.0,6.979772395519621,43.664745679352436,chateauneuf-grasse,,,
06039,Châteauneuf-Villevieille,0.0,metro,062,06,93,commune-actuelle,0.0,210600391.0,['06390'],985.0,7.294787037933384,43.79877015945987,chateauneuf-villevieille,,,
06040,Châteauneuf-d'Entraunes,0.0,metro,062,06,93,commune-actuelle,0.0,210600409.0,['06470'],63.0,6.837864030746011,44.16367728644994,chateauneuf-d-entraunes,,,
06041,Cipières,0.0,metro,061,06,93,commune-actuelle,0.0,210600417.0,['06620'],398.0,6.92836066365893,43.769772330178235,cipieres,,,
06042,Clans,0.0,metro,062,06,93,commune-actuelle,0.0,210600425.0,['06420'],688.0,7.178955544323587,44.004754667680444,clans,,,
06043,Coaraze,0.0,metro,062,06,93,commune-actuelle,0.0,210600433.0,['06390'],822.0,7.299374956694681,43.866246161444856,coaraze,,,
06044,La Colle-sur-Loup,3.0,metro,061,06,93,commune-actuelle,0.0,210600441.0,['06480'],8143.0,7.097381644680643,43.68692322797842,la-colle-sur-loup,,,
06045,Collongues,0.0,metro,061,06,93,commune-actuelle,0.0,210600458.0,['06910'],80.0,6.863785236712457,43.89327789747715,collongues,,,
06046,Colomars,0.0,metro,062,06,93,commune-actuelle,0.0,210600466.0,['06670'],3507.0,7.22323507854539,43.75869171659846,colomars,,,
06047,Conségudes,0.0,metro,061,06,93,commune-actuelle,0.0,210600474.0,['06510'],99.0,7.045113091636937,43.840692066541976,consegudes,,,
06048,Contes,0.0,metro,062,06,93,commune-actuelle,0.0,210600482.0,['06390'],7722.0,7.324286933404436,43.808949797344006,contes,,,
06049,Courmes,0.0,metro,061,06,93,commune-actuelle,0.0,210600490.0,['06620'],108.0,7.017554361393319,43.752525485904236,courmes,,,
06050,Coursegoules,0.0,metro,061,06,93,commune-actuelle,0.0,210600508.0,['06140'],545.0,7.035809597206251,43.791221080661714,coursegoules,,,
06051,La Croix-sur-Roudoule,3.0,metro,062,06,93,commune-actuelle,0.0,210600516.0,['06260'],98.0,6.8709486026686974,43.99996598338395,la-croix-sur-roudoule,,,
06052,Cuébris,0.0,metro,062,06,93,commune-actuelle,0.0,210600524.0,['06910'],132.0,7.003883010206554,43.88920719044138,cuebris,,,
06053,Daluis,0.0,metro,062,06,93,commune-actuelle,0.0,210600532.0,['06470'],145.0,6.80118301209482,44.038662229080884,daluis,,,
06054,Drap,0.0,metro,062,06,93,commune-actuelle,0.0,210600540.0,['06340'],5300.0,7.3373597188910225,43.75826575673779,drap,,,
06055,Duranus,0.0,metro,062,06,93,commune-actuelle,0.0,210600557.0,['06670'],159.0,7.279812524188516,43.893752305278156,duranus,,,
06056,Entraunes,1.0,metro,062,06,93,commune-actuelle,0.0,210600565.0,['06470'],130.0,6.763094516838661,44.215242316871375,entraunes,,,
06057,L'Escarène,5.0,metro,062,06,93,commune-actuelle,0.0,210600573.0,['06440'],2563.0,7.366019618518194,43.8340498577645,l-escarene,,,
06058,Escragnolles,1.0,metro,061,06,93,commune-actuelle,0.0,210600581.0,['06460'],621.0,6.783676128322934,43.72942795815817,escragnolles,,,
06059,Èze,1.0,metro,062,06,93,commune-actuelle,0.0,210600599.0,['06360'],2155.0,7.360437166681439,43.72929617006621,eze,,,
06060,Falicon,0.0,metro,062,06,93,commune-actuelle,0.0,210600607.0,['06950'],2170.0,7.265035035423604,43.75268714398572,falicon,,,
06061,Les Ferres,4.0,metro,061,06,93,commune-actuelle,0.0,210600615.0,['06510'],93.0,7.093523064443774,43.84241788781713,les-ferres,,,
06062,Fontan,0.0,metro,062,06,93,commune-actuelle,0.0,210600623.0,['06540'],309.0,7.544082665244111,44.021782557820174,fontan,,,
06063,Gars,0.0,metro,061,06,93,commune-actuelle,0.0,210600631.0,['06850'],70.0,6.816188835652532,43.86098889705,gars,,,
06064,Gattières,0.0,metro,061,06,93,commune-actuelle,0.0,210600649.0,['06510'],4345.0,7.169262188413389,43.765091229640944,gattieres,,,
06065,La Gaude,3.0,metro,061,06,93,commune-actuelle,0.0,210600656.0,['06610'],7194.0,7.159951331253233,43.72111950528595,la-gaude,,,
06066,Gilette,0.0,metro,062,06,93,commune-actuelle,0.0,210600664.0,['06830'],1617.0,7.161133923744123,43.84817980227635,gilette,,,
06067,Gorbio,0.0,metro,062,06,93,commune-actuelle,0.0,210600672.0,['06500'],1568.0,7.444509200604613,43.786147806962795,gorbio,,,
06068,Gourdon,0.0,metro,061,06,93,commune-actuelle,0.0,210600680.0,['06620'],365.0,6.96372933314262,43.72433692109964,gourdon,,,
06069,Grasse,0.0,metro,061,06,93,commune-actuelle,0.0,210600698.0,"['06130', '06520']",48669.0,6.931968662685833,43.655884660981755,grasse,,,
06070,Gréolières,0.0,metro,061,06,93,commune-actuelle,0.0,210600706.0,['06620'],606.0,6.932085739341219,43.80724147834261,greolieres,,,
06071,Guillaumes,0.0,metro,062,06,93,commune-actuelle,0.0,210600714.0,['06470'],586.0,6.87678789014928,44.08818128035126,guillaumes,,,
06072,Ilonse,1.0,metro,062,06,93,commune-actuelle,0.0,210600722.0,['06420'],137.0,7.091057114015904,44.035200835692685,ilonse,,,
06073,Isola,1.0,metro,062,06,93,commune-actuelle,0.0,210600730.0,['06420'],652.0,7.075106733894725,44.187577934393225,isola,,,
06074,Lantosque,0.0,metro,062,06,93,commune-actuelle,0.0,210600748.0,['06450'],1197.0,7.30469050669164,43.97080518920217,lantosque,,,
06075,Levens,0.0,metro,062,06,93,commune-actuelle,0.0,210600755.0,['06670'],5366.0,7.24016185309207,43.850302638794474,levens,,,
06076,Lieuche,0.0,metro,062,06,93,commune-actuelle,0.0,210600763.0,['06260'],51.0,7.035099170315445,44.003458045983756,lieuche,,,
06077,Lucéram,0.0,metro,062,06,93,commune-actuelle,0.0,210600771.0,['06440'],1249.0,7.352321173994959,43.901021156642784,luceram,,,
06078,Malaussène,0.0,metro,062,06,93,commune-actuelle,0.0,210600789.0,['06710'],327.0,7.141746104158143,43.91558544140969,malaussene,,,
06079,Mandelieu-la-Napoule,0.0,metro,061,06,93,commune-actuelle,0.0,210600797.0,['06210'],21201.0,6.918230315723819,43.5381553819072,mandelieu-la-napoule,,,
06080,Marie,0.0,metro,062,06,93,commune-actuelle,0.0,210600805.0,['06420'],103.0,7.15784856489519,44.03469925293207,marie,,,
06081,Le Mas,2.0,metro,061,06,93,commune-actuelle,0.0,210600813.0,['06910'],98.0,6.858674563336886,43.83684689810147,le-mas,,,
06082,Massoins,0.0,metro,062,06,93,commune-actuelle,0.0,210600821.0,['06710'],127.0,7.124711939582751,43.94840944456183,massoins,,,
