codePostal,libelleAcheminement,latitude,longitude,communesCount
20215,CASALTA,42.46752336894168,9.439006345309831,7
20250,CASANOVA,42.2877675726425,9.171067481174587,8
20213,CASTELLARE DI CASINCA,42.44404987172731,9.46128277518759,10
20218,CASTIFAO,42.47243523994795,9.189155835656106,14
20236,CASTIRLA,42.377793530409704,9.171117080746583,3
20238,CENTURI,42.95144656416918,9.369109437124461,2
20221,CERVIONE,42.32853217196895,9.505836414509634,5
20256,CORBARA,42.61746751000099,8.901313808974098,1
20275,ERSA,42.986961032189484,9.382908401147565,1
20234,FELCE,42.326480938779916,9.405181302719821,9
20245,GALERIA,42.38953833804199,8.763004769077043,2
20240,GHISONACCIA,41.98838991202536,9.356008294574417,10
20227,GHISONI,42.09067285416635,9.21004897715689,1
20243,ISOLACCIO DI FIUMORBO,42.00154586160659,9.309009557250967,8
20259,MAUSOLEO,42.513919653597505,9.004633500166381,4
20287,MERIA,42.91987817886533,9.436756340524314,1
20219,MURACCIOLE,42.15640556949174,9.13821518982701,4
20239,MURATO,42.575250947097075,9.354561864410883,2
20242,NOCETA,42.17023977928379,9.259946348997778,4
20232,OLETTA,42.62765911723447,9.348671672107493,4
20233,PIETRACORBARA,42.829519594469346,9.44056942040796,2
20246,PIEVE,42.62167450323598,9.235240513158432,5
20247,ROGLIANO,42.972289756792144,9.425977166775569,1
20248,ROGLIANO,42.95805604473742,9.435779210267931,2
20231,VENACO,42.21408192639258,9.137089278813983,1
20279,VILLE DI PARASO,42.58203484115836,8.989738399687674,1
30700,AIGALIERS,44.02591706516795,4.415050126309673,17
30350,AIGREMONT,43.98269862444883,4.112675087741207,15
30220,AIGUES MORTES,43.56068990207744,4.213488922513096,2
30670,AIGUES VIVES,43.734337801104864,4.191086858833269,1
30760,AIGUEZE,44.28668166722533,4.511843332323665,7
30470,AIMARGUES,43.67184032484434,4.203893130111195,1
30100,ALES,44.12512847000246,4.088567920548186,1
30500,ALLEGRE LES FUMADES,44.2454631577384,4.214634545583552,8
30770,ALZON,43.95535890441138,3.466776974987282,6
30140,ANDUZE,44.066253180778794,3.9810777546502862,12
30133,LES ANGLES,43.94669087151035,4.752313729432321,1
30390,ARAMON,43.92517481302324,4.650692380952087,4
30210,ARGILLIERS,43.95586053170224,4.543014038821708,13
30120,ARPHY,43.98086827270772,3.578265872057281,13
30250,ASPERES,43.804260358157705,4.098684391186911,11
30620,AUBORD,43.76055771599537,4.288520807941755,3
30190,AUBUSSARGUES,43.96922876150589,4.261051753467032,17
30450,AUJAC,44.3614314469131,3.9899354122283612,9
30200,BAGNOLS SUR CEZE,44.17527221523781,4.622483051108758,13
30430,BARJAC,44.254546615933926,4.322977891951089,7
30330,LA BASTIDE D ENGRAS,44.10474464409623,4.534701966712761,12
30300,BEAUCAIRE,43.80503623357903,4.585369609724525,5
30640,BEAUVOISIN,43.69606492085628,4.322443245606631,2
30127,BELLEGARDE,43.75166897312255,4.495884207144273,1
30580,BELVEZET,44.132302026784245,4.323479551387887,11
30160,BESSEGES,44.29697710109796,4.097321518922254,6
30320,BEZOUCE,43.881252865465605,4.460715766882573,4
30114,BOISSIERES,43.7791364661321,4.231452469029108,2
30230,BOUILLARGUES,43.81374500588782,4.43421112236514,2
30260,BRAGASSARGUES,43.88202601446265,4.036535635651375,15
30110,BRANOUX LES TAILLADES,44.215448416858024,4.007946112558552,8
30170,LA CADIERE ET CAMBO,43.96627978258079,3.87515621577648,8
30740,LE CAILAR,43.658334435332115,4.242829365469851,1
30132,CAISSARGUES,43.79231660252783,4.395275588519535,1
30420,CALVISSON,43.787873384235574,4.188876787659545,1
30130,CARSAN,44.2420209404642,4.6108117485176985,4
30750,CAUSSE BEGON,44.08967417329598,3.4074779934605,7
30820,CAVEIRAC,43.83414125985387,4.267500056919525,1
30480,CENDRAS,44.15217578632427,4.002571360816419,2
30530,CHAMBORIGAUD,44.282618658612854,4.002906792858996,3
30870,CLARENSAC,43.83437602914954,4.206718085027676,2
30920,CODOGNAN,43.72329500076995,4.227582549206393,1
30460,COLOGNAC,44.04548807288808,3.850231204999328,6
30111,CONGENIES,43.77561459680251,4.158323195695273,1
30630,CORNILLON,44.220670821785895,4.449629233107279,5
30360,CRUVIERS LASCOURS,44.05186399701787,4.191264966019439,12
30124,L ESTRECHURE,44.10166979194065,3.8080440217024383,2
30730,FONS,43.889064917159544,4.190778911709115,6
30660,GALLARGUES LE MONTUEUX,43.716782748866805,4.172096198984186,1
30128,GARONS,43.77168557507823,4.438386664037081,1
30510,GENERAC,43.72370107859592,4.359108050002844,1
30240,LE GRAU DU ROI,43.50745600919373,4.165549675220845,2
30980,LANGLADE,43.804699301632596,4.239688456708635,2
30290,LAUDUN L ARDOISE,44.08695804484708,4.656511593796337,3
30126,LIRAC,44.03183591642149,4.689124033872403,3
30610,LOGRIAN FLORIAN,43.95500222648182,4.009844744293929,5
30960,LES MAGES,44.238775477361834,4.125967000673571,4
30129,MANDUEL,43.81991288932347,4.500644160499505,2
30340,MEJANNES LES ALES,44.15169644372019,4.159611159288782,8
30840,MEYNES,43.87707629644065,4.554288739940775,1
30410,MEYRANNES,44.269532860443476,4.153698644182393,2
30540,MILHAUD,43.789519506087736,4.3087966905195,1
30150,MONTFAUCON,44.05065146944149,4.760185830016232,4
30490,MONTFRIN,43.87519922219548,4.592003183271562,1
30121,MUS,43.73660182250379,4.202403326169643,1
30000,NIMES,43.844622870092586,4.347603039487091,1
30900,NIMES,43.844622870092586,4.347603039487091,2
30122,LES PLANTIERS,44.10786776820505,3.712983249488861,1
30131,PUJAUT,43.999539383022864,4.764663449029497,1
30720,RIBAUTE LES TAVERNES,44.04187987088066,4.085093407435551,1
30650,ROCHEFORT DU GARD,43.96316432605374,4.689434982120746,2
30440,ROQUEDUR,43.98090599527759,3.703330026045736,8
30570,ST ANDRE DE MAJENCOULES,44.07171529701622,3.644205948516375,5
30940,ST ANDRE DE VALBORGNE,44.1476643443517,3.68552958128931,1
30380,ST CHRISTOL LEZ ALES,44.083903099119006,4.076210554827742,1
30800,ST GILLES,43.65781528350001,4.407452479969453,1
30560,ST HILAIRE DE BRETHMAS,44.09212185002148,4.12312168461065,1
30270,ST JEAN DU GARD,44.10690744140702,3.878118009884031,1
30520,ST MARTIN DE VALGALGUES,44.16556565994622,4.075220186506455,1
30125,SAUMANE,44.11936181842697,3.768718746513605,1
30600,VAUVERT,43.64772750464372,4.297578898897258,5
30310,VERGEZE,43.73707435429841,4.23336600263503,1
30400,VILLENEUVE LES AVIGNON,43.97675616129894,4.794529803548426,1
31230,AGASSAC,43.356248917359856,0.8610468901769031,24
31550,AIGNES,43.280265199634954,1.513030210130577,4
31280,AIGREFEUILLE,43.59047993630626,1.587221830932912,3
31450,AYGUESVIVES,43.46291141101228,1.568203705388481,20
31420,ALAN,43.235981283278846,0.886208481023513,19
31460,ALBIAC,43.5345387512926,1.7653663229127161,19
31510,ANTICHAN DE FRONTIGNES,43.00902292062387,0.6404393262850561,19
31110,ANTIGNAC,42.80729391318016,0.559905188425054,32
31160,ARBAS,43.00059922633688,0.8099168009746851,27
31210,ARDIEGE,43.1001329901956,0.592728378813113,14
31440,ARGUT DESSOUS,42.9024018012301,0.66968320169394,24
31360,ARNAUD GUILHEM,43.15266078798305,0.9014663122038961,14
31800,ASPRET SARRAT,43.12394036711314,0.73741815338629,21
31140,AUCAMVILLE,43.691740632666246,1.450670455568914,7
31190,AURAGNE,43.349239986468135,1.446745221767786,13
31320,AUREVILLE,43.50893102061912,1.472463042263293,9
31570,AURIN,43.55615421174601,1.654598659612363,8
31260,AUSSEING,43.08457009377407,0.968127403985332,18
31840,AUSSONNE,43.68690442260962,1.342648336346368,2
31650,AUZIELLE,43.552457518146745,1.556562064355629,3
31290,AVIGNONET LAURAGAIS,43.41191996934382,1.725147610527546,20
31380,AZAS,43.727618786958026,1.581975128992312,12
31580,BALESTA,43.16762698044369,0.544806152418139,9
31130,BALMA,43.6030920763603,1.534284431556431,4
31310,BAX,43.2070455368351,1.247079241439633,16
31370,BEAUFORT,43.40763770437987,1.076491155116791,16
31870,BEAUMONT SUR LEZE,43.39698458113673,1.374769259866695,2
31850,BEAUPUY,43.64204527039552,1.550283307927841,3
31700,BEAUZELLE,43.661637866370995,1.3247956800828231,5
